pharmacy_id,name,address,image,location_id,user_id
1,"ΠΑΝΑΓΙΩΤΗΣ ΧΑΪΜΑΛΑΣ ΚΑΙ ΣΙΑ ΟΕ","Δημαρχείου 14",img/pharmacy.jpg,1,2
2,"ΛΩΛΑΣ ΑΝΤΩΝΙΟΣ","Μητροπόλεως 54",img/pharmacy2.jpg,16,3
3,"ΡΟΥΧΩΤΑΣ ΧΑΡΑΛΑΜΠΟΣ","Διδότου 39",img/pharmacy3.jpg,25,4
4,"ΤΖΑΝΝΕ ΕΛΕΝΗ","Χερσίφρονος 27",img/pharmacy4.jpg,46,5
5,"ΖΑΦΕΙΡΟΥΔΗ ΔΗΜΗΤΡΑ","Θεομήτορος 40-42",img/pharmacy5.jpg,16,6
6,"ΑΡΑΒΑΝΗ ΑΛΕΞΑΝΔΡΑ Δ.","Κατσίμπα 37",img/pharmacy6.jpg,16,7
7,"ΚΑΣΤΡΙΩΤΗ - ΠΕΤΣΑΝΑ ΑΝΑΣΤΑΣΙΑ ","Λεωφόρος Αγίου Δημητρίου 8",img/pharmacy7.jpg,16,8
8,"ΠΗΛΙΧΟΣ ΜΙΧΑΗΛ","Μεταμορφώσεως Σωτήρος 4",img/pharmacy8.jpg,1,9
